"","X","firstname","sex","race","call"
"290",290,"Meredith","female","white",0
"291",291,"Aisha","female","black",0
"292",292,"Anne","female","white",0
"293",293,"Emily","female","white",0
"294",294,"Emily","female","white",0
"295",295,"Kenya","female","black",0
"296",296,"Latonya","female","black",0
"297",297,"Anne","female","white",0
"298",298,"Emily","female","white",0
"299",299,"Keisha","female","black",0
"300",300,"Tamika","female","black",0
"301",301,"Anne","female","white",0
"302",302,"Emily","female","white",0
"303",303,"Keisha","female","black",0
"304",304,"Kenya","female","black",0
"305",305,"Latoya","female","black",0
"306",306,"Neil","male","white",0
"307",307,"Aisha","female","black",0
"308",308,"Anne","female","white",0
"309",309,"Emily","female","white",0
"310",310,"Tamika","female","black",0
"311",311,"Carrie","female","white",0
"312",312,"Jill","female","white",0
"313",313,"Keisha","female","black",0
"314",314,"Latonya","female","black",0
"315",315,"Sarah","female","white",0
"316",316,"Tyrone","male","black",0
"317",317,"Carrie","female","white",0
"318",318,"Emily","female","white",0
"319",319,"Latoya","female","black",0
"320",320,"Tanisha","female","black",0
"321",321,"Aisha","female","black",0
"322",322,"Kristen","female","white",0
"323",323,"Lakisha","female","black",0
"324",324,"Laurie","female","white",0
"325",325,"Allison","female","white",0
"326",326,"Jill","female","white",0
"327",327,"Keisha","female","black",0
"328",328,"Kristen","female","white",0
"329",329,"Lakisha","female","black",0
"330",330,"Leroy","male","black",0
"331",331,"Brad","male","white",0
"332",332,"Keisha","female","black",0
"333",333,"Allison","female","white",0
"334",334,"Carrie","female","white",0
"335",335,"Latonya","female","black",0
"336",336,"Latoya","female","black",0
"337",337,"Carrie","female","white",0
"338",338,"Ebony","female","black",0
"339",339,"Latonya","female","black",0
"340",340,"Laurie","female","white",0
"341",341,"Meredith","female","white",0
"342",342,"Tremayne","male","black",0
"343",343,"Allison","female","white",0
"344",344,"Carrie","female","white",0
"345",345,"Lakisha","female","black",0
"346",346,"Tamika","female","black",0
"347",347,"Anne","female","white",0
"348",348,"Darnell","male","black",0
"349",349,"Greg","male","white",1
"350",350,"Tamika","female","black",0
"351",351,"Allison","female","white",0
"352",352,"Carrie","female","white",0
"353",353,"Kenya","female","black",0
"354",354,"Tremayne","male","black",0
"355",355,"Aisha","female","black",0
"356",356,"Aisha","female","black",0
"357",357,"Brad","male","white",0
"358",358,"Brad","male","white",0
"359",359,"Brendan","male","white",0
"360",360,"Ebony","female","black",0
"361",361,"Geoffrey","male","white",0
"362",362,"Greg","male","white",0
"363",363,"Greg","male","white",0
"364",364,"Greg","male","white",0
"365",365,"Hakim","male","black",0
"366",366,"Jay","male","white",0
"367",367,"Jermaine","male","black",0
"368",368,"Kareem","male","black",0
"369",369,"Kareem","male","black",0
"370",370,"Latonya","female","black",0
"371",371,"Leroy","male","black",0
"372",372,"Meredith","female","white",0
"373",373,"Sarah","female","white",0
"374",374,"Sarah","female","white",0
"375",375,"Tamika","female","black",0
"376",376,"Tanisha","female","black",0
"377",377,"Todd","male","white",0
"378",378,"Tremayne","male","black",0
"379",379,"Emily","female","white",0
"380",380,"Kenya","female","black",0
"381",381,"Latoya","female","black",0
"382",382,"Sarah","female","white",0
"383",383,"Carrie","female","white",1
"384",384,"Jermaine","male","black",1
"385",385,"Matthew","male","white",0
"386",386,"Tyrone","male","black",0
"387",387,"Allison","female","white",0
"388",388,"Ebony","female","black",0
"389",389,"Jay","male","white",1
"390",390,"Tamika","female","black",0
"391",391,"Anne","female","white",0
"392",392,"Latonya","female","black",0
"393",393,"Laurie","female","white",0
"394",394,"Tanisha","female","black",0
"395",395,"Ebony","female","black",0
"396",396,"Jill","female","white",0
"397",397,"Kristen","female","white",0
"398",398,"Lakisha","female","black",0
"399",399,"Carrie","female","white",0
"400",400,"Jill","female","white",0
"401",401,"Keisha","female","black",0
"402",402,"Rasheed","male","black",0
"403",403,"Allison","female","white",0
"404",404,"Kenya","female","black",0
"405",405,"Meredith","female","white",0
"406",406,"Tamika","female","black",0
"407",407,"Matthew","male","white",0
"408",408,"Tremayne","male","black",0
"409",409,"Ebony","female","black",0
"410",410,"Emily","female","white",0
"411",411,"Jill","female","white",0
"412",412,"Tamika","female","black",0
"413",413,"Darnell","male","black",0
"414",414,"Emily","female","white",1
"415",415,"Neil","male","white",0
"416",416,"Tamika","female","black",0
"417",417,"Latonya","female","black",0
"418",418,"Laurie","female","white",0
"419",419,"Sarah","female","white",0
"420",420,"Tanisha","female","black",0
"421",421,"Carrie","female","white",0
"422",422,"Kareem","male","black",0
"423",423,"Todd","male","white",0
"424",424,"Tyrone","male","black",0
"425",425,"Anne","female","white",0
"426",426,"Jill","female","white",0
"427",427,"Kenya","female","black",1
"428",428,"Latoya","female","black",1
"429",429,"Anne","female","white",0
"430",430,"Ebony","female","black",0
"431",431,"Emily","female","white",0
"432",432,"Keisha","female","black",0
"433",433,"Allison","female","white",0
"434",434,"Kristen","female","white",0
"435",435,"Lakisha","female","black",0
"436",436,"Tanisha","female","black",0
"437",437,"Brendan","male","white",0
"438",438,"Laurie","female","white",0
"439",439,"Rasheed","male","black",0
"440",440,"Tyrone","male","black",0
"441",441,"Jill","female","white",0
"442",442,"Lakisha","female","black",0
"443",443,"Matthew","male","white",1
"444",444,"Tamika","female","black",0
"445",445,"Aisha","female","black",0
"446",446,"Emily","female","white",0
"447",447,"Keisha","female","black",0
"448",448,"Sarah","female","white",1
"449",449,"Anne","female","white",0
"450",450,"Emily","female","white",0
"451",451,"Latoya","female","black",0
"452",452,"Tamika","female","black",0
"453",453,"Kenya","female","black",0
"454",454,"Kristen","female","white",0
"455",455,"Latonya","female","black",0
"456",456,"Laurie","female","white",0
"457",457,"Carrie","female","white",0
"458",458,"Jill","female","white",0
"459",459,"Keisha","female","black",0
"460",460,"Latoya","female","black",0
"461",461,"Emily","female","white",0
"462",462,"Kristen","female","white",0
"463",463,"Latoya","female","black",0
"464",464,"Tamika","female","black",0
"465",465,"Keisha","female","black",0
"466",466,"Kristen","female","white",0
"467",467,"Lakisha","female","black",0
"468",468,"Meredith","female","white",0
"469",469,"Allison","female","white",0
"470",470,"Lakisha","female","black",0
"471",471,"Meredith","female","white",0
"472",472,"Tanisha","female","black",0
"473",473,"Emily","female","white",1
"474",474,"Keisha","female","black",0
"475",475,"Latonya","female","black",1
"476",476,"Sarah","female","white",1
"477",477,"Aisha","female","black",1
"478",478,"Jill","female","white",1
"479",479,"Latonya","female","black",1
"480",480,"Sarah","female","white",1
"481",481,"Anne","female","white",0
"482",482,"Kenya","female","black",0
"483",483,"Latoya","female","black",0
"484",484,"Sarah","female","white",0
"485",485,"Allison","female","white",0
"486",486,"Keisha","female","black",0
"487",487,"Meredith","female","white",0
"488",488,"Tanisha","female","black",0
"489",489,"Anne","female","white",0
"490",490,"Carrie","female","white",0
"491",491,"Latonya","female","black",0
"492",492,"Tanisha","female","black",0
"493",493,"Allison","female","white",0
"494",494,"Anne","female","white",0
"495",495,"Ebony","female","black",0
"496",496,"Jill","female","white",0
"497",497,"Keisha","female","black",0
"498",498,"Lakisha","female","black",0
"499",499,"Latonya","female","black",0
"500",500,"Todd","male","white",0
"501",501,"Carrie","female","white",0
"502",502,"Meredith","female","white",0
"503",503,"Tamika","female","black",0
"504",504,"Tanisha","female","black",0
"505",505,"Aisha","female","black",0
"506",506,"Anne","female","white",0
"507",507,"Emily","female","white",0
"508",508,"Latonya","female","black",0
"509",509,"Aisha","female","black",0
"510",510,"Allison","female","white",0
"511",511,"Jill","female","white",0
"512",512,"Tamika","female","black",0
"513",513,"Anne","female","white",0
"514",514,"Ebony","female","black",0
"515",515,"Jill","female","white",0
"516",516,"Tamika","female","black",0
"517",517,"Carrie","female","white",0
"518",518,"Kenya","female","black",0
"519",519,"Sarah","female","white",0
"520",520,"Tanisha","female","black",0
"521",521,"Anne","female","white",0
"522",522,"Keisha","female","black",0
"523",523,"Allison","female","white",0
"524",524,"Latoya","female","black",0
"525",525,"Sarah","female","white",0
"526",526,"Tamika","female","black",0
"527",527,"Anne","female","white",0
"528",528,"Jill","female","white",0
"529",529,"Kenya","female","black",0
"530",530,"Lakisha","female","black",0
"531",531,"Jill","female","white",0
"532",532,"Keisha","female","black",0
"533",533,"Lakisha","female","black",0
"534",534,"Meredith","female","white",0
"535",535,"Aisha","female","black",0
"536",536,"Allison","female","white",0
"537",537,"Allison","female","white",0
"538",538,"Hakim","male","black",0
"539",539,"Sarah","female","white",0
"540",540,"Tamika","female","black",0
"541",541,"Aisha","female","black",0
"542",542,"Latoya","female","black",0
"543",543,"Laurie","female","white",0
"544",544,"Meredith","female","white",0
"545",545,"Aisha","female","black",0
"546",546,"Allison","female","white",0
"547",547,"Allison","female","white",0
"548",548,"Allison","female","white",0
"549",549,"Anne","female","white",0
"550",550,"Brad","male","white",0
"551",551,"Brendan","male","white",0
"552",552,"Darnell","male","black",0
"553",553,"Emily","female","white",0
"554",554,"Geoffrey","male","white",0
"555",555,"Greg","male","white",0
"556",556,"Hakim","male","black",0
"557",557,"Hakim","male","black",0
"558",558,"Jay","male","white",0
"559",559,"Jermaine","male","black",0
"560",560,"Kareem","male","black",0
"561",561,"Kenya","female","black",0
"562",562,"Kenya","female","black",0
"563",563,"Lakisha","female","black",0
"564",564,"Latonya","female","black",0
"565",565,"Meredith","female","white",0
"566",566,"Neil","male","white",0
"567",567,"Neil","male","white",0
"568",568,"Rasheed","male","black",0
"569",569,"Tamika","female","black",0
"570",570,"Tanisha","female","black",0
"571",571,"Todd","male","white",0
"572",572,"Tremayne","male","black",0
"573",573,"Brad","male","white",0
"574",574,"Ebony","female","black",0
"575",575,"Jamal","male","black",0
"576",576,"Jay","male","white",0
"577",577,"Ebony","female","black",1
"578",578,"Emily","female","white",1
"579",579,"Latonya","female","black",0
"580",580,"Meredith","female","white",0
"581",581,"Lakisha","female","black",0
"582",582,"Latonya","female","black",0
"583",583,"Laurie","female","white",1
"584",584,"Meredith","female","white",0
"585",585,"Darnell","male","black",0
"586",586,"Geoffrey","male","white",0
"587",587,"Kristen","female","white",0
"588",588,"Tyrone","male","black",0
"589",589,"Jill","female","white",0
"590",590,"Latonya","female","black",0
"591",591,"Sarah","female","white",0
"592",592,"Tanisha","female","black",0
"593",593,"Allison","female","white",1
"594",594,"Ebony","female","black",0
"595",595,"Lakisha","female","black",0
"596",596,"Laurie","female","white",1
"597",597,"Allison","female","white",0
"598",598,"Emily","female","white",0
"599",599,"Tamika","female","black",0
"600",600,"Tanisha","female","black",0
"601",601,"Allison","female","white",1
"602",602,"Brett","male","white",0
"603",603,"Jermaine","male","black",0
"604",604,"Tanisha","female","black",0
"605",605,"Aisha","female","black",0
"606",606,"Allison","female","white",0
"607",607,"Jill","female","white",0
"608",608,"Latonya","female","black",0
"609",609,"Carrie","female","white",0
"610",610,"Ebony","female","black",0
"611",611,"Latoya","female","black",0
"612",612,"Laurie","female","white",0
"613",613,"Carrie","female","white",0
"614",614,"Keisha","female","black",0
"615",615,"Latonya","female","black",0
"616",616,"Sarah","female","white",0
"617",617,"Allison","female","white",0
"618",618,"Ebony","female","black",0
"619",619,"Kenya","female","black",0
"620",620,"Sarah","female","white",0
"621",621,"Aisha","female","black",0
"622",622,"Jill","female","white",0
"623",623,"Kristen","female","white",0
"624",624,"Latonya","female","black",0
"625",625,"Anne","female","white",0
"626",626,"Ebony","female","black",0
"627",627,"Kristen","female","white",0
"628",628,"Latoya","female","black",0
"629",629,"Ebony","female","black",0
"630",630,"Jill","female","white",0
"631",631,"Sarah","female","white",0
"632",632,"Tamika","female","black",0
"633",633,"Emily","female","white",0
"634",634,"Keisha","female","black",0
"635",635,"Kenya","female","black",0
"636",636,"Sarah","female","white",0
"637",637,"Aisha","female","black",0
"638",638,"Ebony","female","black",0
"639",639,"Jill","female","white",0
"640",640,"Meredith","female","white",0
"641",641,"Anne","female","white",0
"642",642,"Emily","female","white",0
"643",643,"Latoya","female","black",0
"644",644,"Tamika","female","black",0
"645",645,"Allison","female","white",0
"646",646,"Emily","female","white",0
"647",647,"Kenya","female","black",0
"648",648,"Tamika","female","black",0
"649",649,"Allison","female","white",0
"650",650,"Carrie","female","white",0
"651",651,"Keisha","female","black",0
"652",652,"Lakisha","female","black",0
"653",653,"Laurie","female","white",0
"654",654,"Tanisha","female","black",0
"655",655,"Anne","female","white",0
"656",656,"Carrie","female","white",0
"657",657,"Keisha","female","black",0
"658",658,"Tamika","female","black",0
"659",659,"Allison","female","white",0
"660",660,"Latonya","female","black",0
"661",661,"Laurie","female","white",0
"662",662,"Tamika","female","black",0
"663",663,"Allison","female","white",0
"664",664,"Keisha","female","black",0
"665",665,"Meredith","female","white",0
"666",666,"Tanisha","female","black",0
"667",667,"Jill","female","white",0
"668",668,"Lakisha","female","black",0
"669",669,"Sarah","female","white",0
"670",670,"Tamika","female","black",0
"671",671,"Anne","female","white",0
"672",672,"Ebony","female","black",0
"673",673,"Sarah","female","white",0
"674",674,"Tanisha","female","black",0
"675",675,"Carrie","female","white",0
"676",676,"Keisha","female","black",0
"677",677,"Latonya","female","black",0
"678",678,"Sarah","female","white",0
"679",679,"Carrie","female","white",0
"680",680,"Latoya","female","black",0
"681",681,"Meredith","female","white",0
"682",682,"Tanisha","female","black",0
"683",683,"Allison","female","white",0
"684",684,"Ebony","female","black",0
"685",685,"Lakisha","female","black",0
"686",686,"Laurie","female","white",0
"687",687,"Kenya","female","black",0
"688",688,"Laurie","female","white",0
"689",689,"Jay","male","white",0
"690",690,"Keisha","female","black",0
"691",691,"Emily","female","white",0
"692",692,"Kenya","female","black",0
"693",693,"Sarah","female","white",0
"694",694,"Tanisha","female","black",0
"695",695,"Aisha","female","black",0
"696",696,"Allison","female","white",0
"697",697,"Allison","female","white",0
"698",698,"Anne","female","white",0
"699",699,"Brad","male","white",0
"700",700,"Brad","male","white",0
"701",701,"Brett","male","white",0
"702",702,"Carrie","female","white",0
"703",703,"Carrie","female","white",0
"704",704,"Emily","female","white",0
"705",705,"Jamal","male","black",0
"706",706,"Jay","male","white",0
"707",707,"Jay","male","white",0
"708",708,"Jermaine","male","black",0
"709",709,"Jill","female","white",0
"710",710,"Kareem","male","black",0
"711",711,"Kareem","male","black",0
"712",712,"Kareem","male","black",0
"713",713,"Keisha","female","black",0
"714",714,"Latonya","female","black",0
"715",715,"Latonya","female","black",0
"716",716,"Latoya","female","black",0
"717",717,"Laurie","female","white",0
"718",718,"Leroy","male","black",0
"719",719,"Neil","male","white",0
"720",720,"Rasheed","male","black",0
"721",721,"Sarah","female","white",0
"722",722,"Sarah","female","white",0
"723",723,"Tanisha","female","black",0
"724",724,"Tanisha","female","black",0
"725",725,"Tremayne","male","black",0
"726",726,"Tyrone","male","black",0
"727",727,"Kristen","female","white",0
"728",728,"Latonya","female","black",0
"729",729,"Sarah","female","white",0
"730",730,"Tanisha","female","black",0
"731",731,"Ebony","female","black",0
"732",732,"Emily","female","white",0
"733",733,"Lakisha","female","black",0
"734",734,"Sarah","female","white",0
"735",735,"Anne","female","white",1
"736",736,"Latoya","female","black",1
"737",737,"Meredith","female","white",0
"738",738,"Tanisha","female","black",0
"739",739,"Anne","female","white",0
"740",740,"Hakim","male","black",0
"741",741,"Jay","male","white",0
"742",742,"Latoya","female","black",0
"743",743,"Aisha","female","black",0
"744",744,"Emily","female","white",0
"745",745,"Jill","female","white",0
"746",746,"Keisha","female","black",0
"747",747,"Laurie","female","white",0
"748",748,"Tamika","female","black",0
"749",749,"Carrie","female","white",0
"750",750,"Lakisha","female","black",0
"751",751,"Latoya","female","black",0
"752",752,"Laurie","female","white",0
"753",753,"Allison","female","white",0
"754",754,"Kristen","female","white",0
"755",755,"Lakisha","female","black",0
"756",756,"Latonya","female","black",0
"757",757,"Allison","female","white",1
"758",758,"Keisha","female","black",0
"759",759,"Laurie","female","white",1
"760",760,"Tanisha","female","black",0
"761",761,"Jill","female","white",0
"762",762,"Kristen","female","white",0
"763",763,"Lakisha","female","black",0
"764",764,"Tamika","female","black",0
"765",765,"Latoya","female","black",1
"766",766,"Laurie","female","white",1
"767",767,"Sarah","female","white",0
"768",768,"Tamika","female","black",0
"769",769,"Ebony","female","black",0
"770",770,"Lakisha","female","black",0
"771",771,"Meredith","female","white",0
"772",772,"Sarah","female","white",0
"773",773,"Allison","female","white",0
"774",774,"Kenya","female","black",0
"775",775,"Laurie","female","white",0
"776",776,"Tamika","female","black",0
"777",777,"Allison","female","white",0
"778",778,"Keisha","female","black",0
"779",779,"Lakisha","female","black",0
"780",780,"Meredith","female","white",0
"781",781,"Latonya","female","black",0
"782",782,"Laurie","female","white",0
"783",783,"Aisha","female","black",0
"784",784,"Allison","female","white",0
"785",785,"Carrie","female","white",0
"786",786,"Tanisha","female","black",0
"787",787,"Anne","female","white",0
"788",788,"Latoya","female","black",0
"789",789,"Laurie","female","white",0
"790",790,"Tamika","female","black",0
"791",791,"Carrie","female","white",0
"792",792,"Lakisha","female","black",0
"793",793,"Latonya","female","black",0
"794",794,"Sarah","female","white",0
"795",795,"Ebony","female","black",0
"796",796,"Kristen","female","white",0
"797",797,"Anne","female","white",0
"798",798,"Emily","female","white",0
"799",799,"Kenya","female","black",0
"800",800,"Latoya","female","black",0
"801",801,"Allison","female","white",0
"802",802,"Emily","female","white",0
"803",803,"Tamika","female","black",0
"804",804,"Tanisha","female","black",0
"805",805,"Aisha","female","black",0
"806",806,"Allison","female","white",0
"807",807,"Carrie","female","white",1
"808",808,"Latoya","female","black",0
"809",809,"Ebony","female","black",0
"810",810,"Jill","female","white",0
"811",811,"Kristen","female","white",0
"812",812,"Latoya","female","black",0
"813",813,"Anne","female","white",0
"814",814,"Emily","female","white",0
"815",815,"Keisha","female","black",0
"816",816,"Kenya","female","black",0
"817",817,"Carrie","female","white",0
"818",818,"Ebony","female","black",0
"819",819,"Meredith","female","white",0
"820",820,"Tamika","female","black",0
"821",821,"Kristen","female","white",1
"822",822,"Laurie","female","white",0
"823",823,"Tamika","female","black",0
"824",824,"Tanisha","female","black",0
"825",825,"Carrie","female","white",0
"826",826,"Emily","female","white",0
"827",827,"Keisha","female","black",0
